h1,h2,iteration,learning_rate,ReLu_testError
7,5,800,0.0000400,0.5442457
7,5,800,0.0000700,0.5295227
7,5,800,0.0001000,0.5249858
7,5,800,0.0001300,0.5227493
7,5,800,0.0001600,0.5212074
7,5,800,0.0001900,0.5199649
7,5,800,0.0002200,0.5188997
7,5,800,0.0002500,0.5179544
7,5,800,0.0002800,0.5171170
7,5,800,0.0003100,0.5164215
7,5,1000,0.0000100,0.6047095
7,5,1000,0.0000400,0.5368342
7,5,1000,0.0000700,0.5264070
7,5,1000,0.0001000,0.5230725
7,5,1000,0.0001300,0.5211184
7,5,1000,0.0001600,0.5196146
7,5,1000,0.0001900,0.5183395
7,5,1000,0.0002200,0.5172121
7,5,1000,0.0002500,0.5162227
7,5,1000,0.0002800,0.5153690
7,5,1000,0.0003100,0.5146636
7,5,1500,0.0000100,0.5829279
7,5,1500,0.0000400,0.5284332
7,5,1500,0.0000700,0.5227165
7,5,1500,0.0001000,0.5201025
7,5,1500,0.0001300,0.5181353
