h1,h2,iteration,learning_rate,sigmoid_testError,tanh_testError
2,5,2000,0.021,0.355252749,1.99830533
2,5,2000,0.031,0.353994173,1.999999469
2,5,2000,0.041,0.89046719,1.999999234
2,5,2000,0.051,0.360178831,1.999986138
2,5,2000,0.061,0.890463973,1.999999995
2,5,2000,0.071,0.3555667,3.999984326
2,5,2000,0.081,0.890460164,1.999996654
2,5,2000,0.091,0.890460977,1.999999545
2,5,2000,0.101,0.890466525,1.999999482
2,5,3000,0.001,0.477452489,0.213814439
2,5,3000,0.011,0.250510449,0.89028877
2,5,3000,0.021,0.34384329,1.997527238
2,5,3000,0.031,0.354219468,1.999999434
2,5,3000,0.041,0.890460175,1.999999158
2,5,3000,0.051,0.355786172,1.999999947
2,5,3000,0.061,0.89046392,1.999999995
2,5,3000,0.071,0.890461866,1.999999999
2,5,3000,0.081,0.890458593,1.999990604
2,5,3000,0.091,0.890459451,1.999999495
2,5,3000,0.101,0.890465535,1.999999443
2,5,4000,0.001,0.4307053,0.175785959
2,5,4000,0.011,0.250018069,0.890462965
2,5,4000,0.021,0.109792299,1.987981747
2,5,4000,0.031,0.103869739,1.999999394
2,5,4000,0.041,0.890449472,1.999999066
2,5,4000,0.051,0.355577803,1.999999947
2,5,4000,0.061,0.890463873,1.999999995
2,5,4000,0.071,0.890461748,1.999999999
2,5,4000,0.081,0.890452347,2
2,5,4000,0.091,0.890443019,1.999999433
2,5,4000,0.101,0.890464982,1.999999396
2,5,5000,0.001,0.40622834,0.152461762
2,5,5000,0.011,0.183394878,0.890462965
2,5,5000,0.021,0.121672187,1.975825465
2,5,5000,0.031,0.127448704,1.999999347
2,5,5000,0.041,0.376780257,1.99999895
2,5,5000,0.051,0.354788042,1.999999946
2,5,5000,0.061,0.89046383,1.999999995
2,5,5000,0.071,0.890461599,1.999999999
2,5,5000,0.081,0.890334124,2
2,5,5000,0.091,0.890462959,1.999999353
2,5,5000,0.101,0.890464629,1.999999339
3,2,500,0.001,0.909255815,0.89071884
3,2,500,0.011,0.44313234,0.890497566
3,2,500,0.021,0.406601285,0.874631412
3,2,500,0.031,0.392796956,1.933178074
3,2,500,0.041,0.382050716,1.999915267
3,2,500,0.051,0.369198126,1.999980186
3,2,500,0.061,0.368848568,1.999941838
3,2,500,0.071,0.342383586,1.999999176
3,2,500,0.081,0.359808978,1.999979841
3,2,500,0.091,0.367770137,1.999999984
3,2,500,0.101,0.890422917,1.99999875
3,2,800,0.001,0.832790035,0.890814156
3,2,800,0.011,0.414400833,0.890485209
3,2,800,0.021,0.390229348,0.876473521
3,2,800,0.031,0.365775243,1.995608639
3,2,800,0.041,0.374270076,1.999863616
3,2,800,0.051,0.368345175,1.999976721
3,2,800,0.061,0.356296173,1.999603772
3,2,800,0.071,0.354211309,1.999999162
3,2,800,0.081,0.353555527,1.999950935
3,2,800,0.091,0.367181148,1.999999984
3,2,800,0.101,0.421106156,1.999998713
3,2,1000,0.001,0.780203546,0.89087348
3,2,1000,0.011,0.404738333,0.890480929
3,2,1000,0.021,0.380140974,0.875127434
3,2,1000,0.031,0.345929104,1.997437602
3,2,1000,0.041,0.368839773,1.999737509
3,2,1000,0.051,0.362567547,1.999973476
3,2,1000,0.061,0.354336097,1.999989355
3,2,1000,0.071,0.353199546,1.999999153
3,2,1000,0.081,0.448966461,1.99891969
3,2,1000,0.091,0.362678453,1.999999984
3,2,1000,0.101,0.908441456,1.999998687
3,2,1500,0.001,0.665200163,0.890871937
3,2,1500,0.011,0.390792662,0.890475087
3,2,1500,0.021,0.324307156,0.87532301
